exp,max_use_intensity,max_artifact_carry,max_flake_size,max_nodules_size,blank_prob,scavenge_prob,overlap,mu,size_preference,flake_preference,min_suitable_flake_size,min_suitable_nodule_size,strict_selection,mid.signf,end.signf
10000,30,20,1,20,0.5,0.75,2,2,TRUE,FALSE,1,10,FALSE,TRUE,TRUE
10001,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
10002,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10003,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,5,FALSE,TRUE,TRUE
10004,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,10,FALSE,TRUE,TRUE
10005,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,5,TRUE,NA,NA
10006,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,10,TRUE,NA,NA
10007,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,5,FALSE,TRUE,TRUE
10008,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,10,FALSE,TRUE,TRUE
10009,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
1000,15,10,1,20,0.75,0.5,1,2,TRUE,FALSE,1,10,FALSE,FALSE,FALSE
10010,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10011,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,5,FALSE,TRUE,TRUE
10012,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,10,FALSE,TRUE,TRUE
10013,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,5,TRUE,NA,NA
10014,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,10,TRUE,NA,NA
10015,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,5,FALSE,FALSE,FALSE
10016,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,10,FALSE,FALSE,FALSE
10017,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
10018,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10019,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,5,FALSE,TRUE,TRUE
1001,15,10,1,20,0.75,0.5,1,3,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
10020,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,10,FALSE,TRUE,TRUE
10021,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,5,TRUE,NA,NA
10022,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,10,TRUE,NA,NA
10023,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,5,FALSE,FALSE,FALSE
10024,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,10,FALSE,FALSE,FALSE
10025,30,20,1,20,0.75,0.25,1,3,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
10026,30,20,1,20,0.75,0.25,1,3,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10027,30,20,1,20,0.75,0.25,1,3,TRUE,TRUE,1,5,FALSE,TRUE,TRUE
10028,30,20,1,20,0.75,0.25,1,3,TRUE,TRUE,1,10,FALSE,TRUE,TRUE
10029,30,20,1,20,0.75,0.25,1,3,TRUE,FALSE,1,5,TRUE,NA,NA
1002,15,10,1,20,0.75,0.5,1,3,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10030,30,20,1,20,0.75,0.25,1,3,TRUE,FALSE,1,10,TRUE,NA,NA
10031,30,20,1,20,0.75,0.25,1,3,TRUE,FALSE,1,5,FALSE,FALSE,FALSE
10032,30,20,1,20,0.75,0.25,1,3,TRUE,FALSE,1,10,FALSE,FALSE,FALSE
10033,30,20,1,20,0.75,0.25,2,1,TRUE,TRUE,1,5,TRUE,TRUE,TRUE
10034,30,20,1,20,0.75,0.25,2,1,TRUE,TRUE,1,10,TRUE,TRUE,TRUE
10035,30,20,1,20,0.75,0.25,2,1,TRUE,TRUE,1,5,FALSE,FALSE,TRUE
10036,30,20,1,20,0.75,0.25,2,1,TRUE,TRUE,1,10,FALSE,TRUE,TRUE
10037,30,20,1,20,0.75,0.25,2,1,TRUE,FALSE,1,5,TRUE,NA,NA
10038,30,20,1,20,0.75,0.25,2,1,TRUE,FALSE,1,10,TRUE,NA,NA
10039,30,20,1,20,0.75,0.25,2,1,TRUE,FALSE,1,5,FALSE,FALSE,FALSE
1003,15,10,1,20,0.75,0.5,1,3,TRUE,TRUE,1,5,FALSE,TRUE,TRUE
