exp,max_use_intensity,max_artifact_carry,max_flake_size,max_nodules_size,blank_prob,scavenge_prob,overlap,mu,size_preference,flake_preference,min_suitable_flake_size,min_suitable_nodule_size,strict_selection,nod.cnt.mean,nod.cnt.avg.sd,flk.cnt.mean,flk.cnt.avg.sd,cr.mean,cr.avg.sd,ri.mean,ri.avg.sd,num.dis.mean,num.dis.avg.sd,num.scvg.mean,num.scvg.avg.sd,num.enc.mean,num.enc.avg.sd,num.manu.mean,num.manu.avg.sd,num.ret.mean,num.ret.avg.sd,num.occp.mean,num.occp.avg.sd
10000,30,20,1,20,0.5,0.75,2,2,TRUE,FALSE,1,10,FALSE,10.441,5.242382534365732,245.4404,92.31805783562305,1.6501568154742794,1.250199741453955,0.4072788154366369,0.1334538070166799,785.0462,220.66173833666232,529.1648,155.2563777023968,26.2964,5.955632201094254,611.709,155.91460257552203,344.046,111.91963458038872,26.2964,5.955632201094254
10001,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,5,TRUE,28.1062,17.49808611729172,665.8534,351.61902065281623,1.6262317603835392,0.498450676458904,0.4046533205878443,0.13554241850405385,6309.2834,4815.16708202809,6128.8702,4783.271213905475,27.445,6.536482443528491,663.0018,164.1079108680746,391.842,120.44186404918243,27.445,6.536482443528491
10002,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,10,TRUE,28.0302,17.602768890669775,662.0112,350.5663973474129,1.6319884779118752,0.5025894363675281,0.4052358795445711,0.1361991586639499,6227.8884,4670.701848321792,6046.8148,4639.636797166166,27.4434,6.589898416542523,663.12,166.3160061692132,392.508,122.22611414417189,27.4434,6.589898416542523
10003,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,5,FALSE,23.3484,18.885533114401667,440.5046,364.1296650516718,1.2135254556422796,0.5994401071993716,0.37403179871078557,0.19775345189085153,4038.9994,4325.919848047682,3902.6848,4277.332164990272,27.462,6.538070966438037,590.8346,179.0977614501141,385.704,119.1481183415992,27.462,6.538070966438037
10004,30,20,1,20,0.5,0.75,2,3,TRUE,TRUE,1,10,FALSE,22.9908,18.799274613962655,423.1714,347.9170775935505,1.178555787647803,0.5872525356431962,0.36618861975182565,0.19695700674873465,3837.813,3955.171598442387,3704.156,3904.643419032899,27.4168,6.28267746858548,587.2878,176.0819692847493,385.938,118.37667534366132,27.4168,6.28267746858548
10005,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,5,TRUE,10.1814,6.753348594617145,362.2178,113.28645294638491,4.393479033105626,4.514461991517354,0,0,372.3992,116.61850540759626,0,0,27.4118,6.286234554422164,368.3252,114.06689199268921,5.646,13.252366820164145,27.4118,6.286234554422164
10006,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,10,TRUE,18.1992,9.551245786735068,358.217,113.65107664133554,2.494621011665275,2.737904753175541,0,0,376.4162,119.74512815941364,0,0,27.4196,6.590255326480392,365.2066,115.10812435775605,6.486,14.286675266124577,27.4196,6.590255326480392
10007,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,5,FALSE,9.546,4.672788357741381,272.8598,98.04068876177064,2.0079717700468236,1.7241311180750238,0.3938529390642466,0.12586766336214458,840.5194,233.12134429004018,558.1136,161.23605431398417,27.3922,6.331242714245931,653.4552,165.6873625895284,365.736,115.58832789077294,27.3922,6.331242714245931
10008,30,20,1,20,0.5,0.75,2,3,TRUE,FALSE,1,10,FALSE,13.091,6.049299569376669,270.837,97.20080423622105,1.4924116562262786,1.1037721227670803,0.3986980523091294,0.12362406378581542,843.0844,238.8638245029156,559.1564,165.67048199720014,27.3844,6.499136466098805,655.5282,168.5168923974848,368.358,117.9395682624185,27.3844,6.499136466098805
10009,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,5,TRUE,79.3526,36.67370083126118,308.5408,148.57229020549784,1.002481097765439,0.07080355036171188,0.040425472251157585,0.04706577656187506,957.3496,695.931907948996,707.6102,659.735149823202,23.2104,5.4201749795958305,411.844,112.49076590212971,110.316,57.39431063341213,23.2104,5.4201749795958305
1000,15,10,1,20,0.75,0.5,1,2,TRUE,FALSE,1,10,FALSE,11.877,4.7772066986513195,240.3654,67.82388235129942,1.4746137392300078,0.8580540919785825,0.06882208706824211,0.03760294746577335,435.3594,117.54213620096532,183.117,58.532796517117035,26.2788,6.063142787279056,323.8258,81.21027849576099,74.802,33.85574646901653,26.2788,6.063142787279056
10010,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,10,TRUE,78.9964,36.44443618542165,306.6924,144.99956645321873,1.0018567047199392,0.06950975969326799,0.04105445914157701,0.04798156125223936,943.8132,656.6583156559482,694.5024,620.0279121526123,23.2066,5.423166058437958,412.256,114.40249724094156,111.174,59.82295208626456,23.2066,5.423166058437958
10011,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,5,FALSE,76.5256,36.87668360171877,298.0798,143.3546692499485,0.9923378816449018,0.08485739012075864,0.05269135044987997,0.054757404284439995,921.7428,630.8955047892466,677.534,590.158299809614,23.2222,5.436504364758338,406.6374,116.12362161826768,110.76,59.37312209838827,23.2222,5.436504364758338
10012,30,20,1,20,0.75,0.25,1,1,TRUE,TRUE,1,10,FALSE,76.9176,36.642742682440925,302.137,147.15723798206963,0.9924079136413522,0.0922590259197493,0.05225329381328452,0.05305075381258028,941.855,659.7868976707111,696.2026,619.8420211081344,23.2674,5.330722528360915,407.8554,115.79422993623692,110.34,58.2116142647613,23.2674,5.330722528360915
10013,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,5,TRUE,2.4758,3.1999287029032506,369.528,114.27673444676411,11.686478446718423,7.198521874233408,0,0,372.0038,115.15075142001376,0,0,23.24,5.416099183060008,369.781,114.26435491495371,0.162,1.0340045731306802,23.24,5.416099183060008
10014,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,10,TRUE,8.4198,6.334261473562147,364.7418,113.86650591422384,5.119468535087335,5.0296940072273735,0,0,373.1616,116.79477065489014,0,0,23.2342,5.53800113724329,365.5004,113.9686098555187,0.486,2.821692408502393,23.2342,5.53800113724329
10015,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,5,FALSE,4.4352,3.4789990968319535,370.536,117.36213248993062,5.836092198692426,4.670788011660481,0.03587961384957586,0.0345298884206113,534.3516,166.07288183127548,159.3804,73.62214079729513,23.2892,5.596110109291757,447.8108,130.87666141873663,65.208,44.64625279581232,23.2892,5.596110109291757
10016,30,20,1,20,0.75,0.25,1,1,TRUE,FALSE,1,10,FALSE,9.4434,5.732218407666658,358.9084,110.43290030229731,3.085501109892625,2.756826773339749,0.03822336600023139,0.03401710365355434,527.285,160.0051136265915,158.9332,72.1892446093435,23.1688,5.315021645551748,445.0952,126.03573311519585,71.748,46.66312904978362,23.1688,5.315021645551748
10017,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,5,TRUE,60.6838,29.896143278388855,567.2794,245.02992826033537,1.1558655000222007,0.17112034505864712,0.050750847126494164,0.05053557082559164,1991.9956,1377.8691709470672,1650.23,1322.5667859493983,26.308,6.078418693594587,532.42,133.73284482867882,158.88,70.7810801378209,26.308,6.078418693594587
10018,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,10,TRUE,60.4606,29.917035610698345,572.4406,241.05889437620797,1.1615147476693315,0.17786299882805856,0.05081850696678686,0.05078666433440298,2041.7664,1387.2585147361312,1699.9554,1336.3226747486344,26.3292,5.912560382952329,533.318,130.68719060169437,159.726,72.31324247247458,26.3292,5.912560382952329
10019,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,5,FALSE,59.3414,29.747732885095772,548.819,241.7698875993956,1.1451919575798457,0.17708180126994094,0.05380172274928625,0.05231813530678374,1931.82,1373.8862205567611,1598.1988,1320.4185186984112,26.3148,6.0422121658039005,524.7436,133.70469009978865,159.864,72.06877879013798,26.3148,6.0422121658039005
1001,15,10,1,20,0.75,0.5,1,3,TRUE,TRUE,1,5,TRUE,30.5008,12.024181847249316,766.101,332.990690438213,1.6169078894491828,0.3136324288486398,0.08011199129027641,0.05818633506857252,5165.5822,3491.2399830805234,4906.4016,3443.015742243325,27.3834,6.555634200999927,385.971,95.4958514964468,93.588,38.82101705663794,27.3834,6.555634200999927
10020,30,20,1,20,0.75,0.25,1,2,TRUE,TRUE,1,10,FALSE,59.5234,30.38437539825189,544.3926,239.92430251724704,1.1431061270929344,0.17413936210115166,0.05539958519213523,0.053116736859391694,1905.8018,1341.0019958705084,1572.9122,1286.8530458832658,26.2942,5.949039417185494,523.3124,131.96794161329845,158.586,70.37853173404969,26.2942,5.949039417185494
10021,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,5,TRUE,12.644,7.827417378658338,493.0666,135.37907860747808,3.8256538924223396,3.7681025705945883,0,0,505.7106,139.16537652517957,0,0,26.2636,6.027592296391169,495.4492,135.3811628768362,1.848,6.809943763588255,26.2636,6.027592296391169
10022,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,10,TRUE,24.019,11.236961522260872,485.6122,137.41943872636958,1.9429909335848472,1.6766423115648514,0,0,509.6312,144.79381082106852,0,0,26.289,6.130652274436188,489.2744,137.56214012658063,2.928,9.1696138314117,26.289,6.130652274436188
10023,30,20,1,20,0.75,0.25,1,2,TRUE,FALSE,1,5,FALSE,13.5848,6.986644758512379,478.1216,134.08015913162245,2.641328574195519,2.176001090152191,0.03372539781606998,0.028795740538782432,675.8648,186.8571582572819,184.1584,77.1220076882366,26.2514,6.000000242612468,589.4996,151.69104833052282,101.952,56.13210394095339,26.2514,6.000000242612468
