"modelType","of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps"
"accumulation",936,"0","10","500000","100","30","10","1","20","0.25","0.75","2","2","false","false","2","false","0.5","0","3000"
"accumulation",937,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","true","true","1","true","0.5","0","3000"
"accumulation",938,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","true","true","2","true","0.5","0","3000"
"accumulation",939,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","true","1","true","0.5","0","3000"
"accumulation",940,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","true","2","true","0.5","0","3000"
"accumulation",941,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","true","true","1","false","0.5","0","3000"
"accumulation",942,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","true","true","2","false","0.5","0","3000"
"accumulation",943,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","true","1","false","0.5","0","3000"
"accumulation",944,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","true","2","false","0.5","0","3000"
"accumulation",945,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","false","1","true","0.5","0","3000"
"accumulation",946,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","false","2","true","0.5","0","3000"
"accumulation",947,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","false","1","false","0.5","0","3000"
"accumulation",948,"0","10","500000","100","30","10","1","20","0.5","0.25","1","2","false","false","2","false","0.5","0","3000"
"accumulation",949,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","true","true","1","true","0.5","0","3000"
"accumulation",950,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","true","true","2","true","0.5","0","3000"
"accumulation",951,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","true","1","true","0.5","0","3000"
"accumulation",952,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","true","2","true","0.5","0","3000"
"accumulation",953,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","true","true","1","false","0.5","0","3000"
"accumulation",954,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","true","true","2","false","0.5","0","3000"
"accumulation",955,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","true","1","false","0.5","0","3000"
"accumulation",956,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","true","2","false","0.5","0","3000"
"accumulation",957,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","false","1","true","0.5","0","3000"
"accumulation",958,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","false","2","true","0.5","0","3000"
"accumulation",959,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","false","1","false","0.5","0","3000"
"accumulation",960,"0","10","500000","100","30","10","1","20","0.5","0.25","2","2","false","false","2","false","0.5","0","3000"
"accumulation",961,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","true","true","1","true","0.5","0","3000"
"accumulation",962,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","true","true","2","true","0.5","0","3000"
"accumulation",963,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","true","1","true","0.5","0","3000"
"accumulation",964,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","true","2","true","0.5","0","3000"
"accumulation",965,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","true","true","1","false","0.5","0","3000"
"accumulation",966,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","true","true","2","false","0.5","0","3000"
"accumulation",967,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","true","1","false","0.5","0","3000"
"accumulation",968,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","true","2","false","0.5","0","3000"
"accumulation",969,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","false","1","true","0.5","0","3000"
"accumulation",970,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","false","2","true","0.5","0","3000"
"accumulation",971,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","false","1","false","0.5","0","3000"
"accumulation",972,"0","10","500000","100","30","10","1","20","0.5","0.5","1","2","false","false","2","false","0.5","0","3000"
"accumulation",973,"0","10","500000","100","30","10","1","20","0.5","0.5","2","2","true","true","1","true","0.5","0","3000"
