"modelType","of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps"
"accumulation",1,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","true","0.5","0","3000"
"accumulation",2,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","true","0.5","0","3000"
"accumulation",3,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","true","0.5","0","3000"
"accumulation",4,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","true","0.5","0","3000"
"accumulation",5,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","false","0.5","0","3000"
"accumulation",6,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","false","0.5","0","3000"
"accumulation",7,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","false","0.5","0","3000"
"accumulation",8,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","false","0.5","0","3000"
"accumulation",9,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","true","0.5","0","3000"
"accumulation",10,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","true","0.5","0","3000"
"accumulation",11,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","false","0.5","0","3000"
"accumulation",12,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","false","0.5","0","3000"
"accumulation",13,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","true","true","1","true","0.5","0","3000"
"accumulation",14,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","true","true","2","true","0.5","0","3000"
"accumulation",15,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","true","1","true","0.5","0","3000"
"accumulation",16,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","true","2","true","0.5","0","3000"
"accumulation",17,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","true","true","1","false","0.5","0","3000"
"accumulation",18,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","true","true","2","false","0.5","0","3000"
"accumulation",19,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","true","1","false","0.5","0","3000"
"accumulation",20,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","true","2","false","0.5","0","3000"
"accumulation",21,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","false","1","true","0.5","0","3000"
"accumulation",22,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","false","2","true","0.5","0","3000"
"accumulation",23,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","false","1","false","0.5","0","3000"
"accumulation",24,"0","10","500000","100","15","10","1","20","0.25","0.25","2","2","false","false","2","false","0.5","0","3000"
