"modelType","of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps"
"occupation",1,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","true","0.5","0","3000"
"occupation",2,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","true","0.5","0","3000"
"occupation",3,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","true","0.5","0","3000"
"occupation",4,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","true","0.5","0","3000"
"occupation",5,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","false","0.5","0","3000"
"occupation",6,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","false","0.5","0","3000"
"occupation",7,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","false","0.5","0","3000"
"occupation",8,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","false","0.5","0","3000"
"occupation",9,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","true","0.5","0","3000"
"occupation",10,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","true","0.5","0","3000"
"occupation",11,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","false","0.5","0","3000"
"occupation",12,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","false","0.5","0","3000"
"occupation",13,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","true","0.5","0","3000"
"occupation",14,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","true","0.5","0","3000"
"occupation",15,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","true","0.5","0","3000"
"occupation",16,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","true","0.5","0","3000"
"occupation",17,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","false","0.5","0","3000"
"occupation",18,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","false","0.5","0","3000"
"occupation",19,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","false","0.5","0","3000"
"occupation",20,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","false","0.5","0","3000"
"occupation",21,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","true","0.5","0","3000"
"occupation",22,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","true","0.5","0","3000"
"occupation",23,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","false","0.5","0","3000"
"occupation",24,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","false","0.5","0","3000"
"occupation",25,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","true","0.5","0","3000"
"occupation",26,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","true","0.5","0","3000"
"occupation",27,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","true","0.5","0","3000"
"occupation",28,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","2","true","0.5","0","3000"
"occupation",29,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","false","0.5","0","3000"
"occupation",30,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","false","0.5","0","3000"
"occupation",31,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","false","0.5","0","3000"
