"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps","totalAgents"
1,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","true","0.5","0","3000","100"
2,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","true","0.5","0","3000","200"
3,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","true","0.5","0","3000","100"
4,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","true","0.5","0","3000","200"
5,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","true","0.5","0","3000","100"
6,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","true","0.5","0","3000","200"
7,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","true","0.5","0","3000","100"
8,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","true","0.5","0","3000","200"
9,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","false","0.5","0","3000","100"
10,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","1","false","0.5","0","3000","200"
11,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","false","0.5","0","3000","100"
12,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","true","true","2","false","0.5","0","3000","200"
13,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","false","0.5","0","3000","100"
14,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","1","false","0.5","0","3000","200"
15,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","false","0.5","0","3000","100"
16,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","true","2","false","0.5","0","3000","200"
17,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","true","0.5","0","3000","100"
18,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","true","0.5","0","3000","200"
19,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","true","0.5","0","3000","100"
20,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","true","0.5","0","3000","200"
21,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","false","0.5","0","3000","100"
22,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","1","false","0.5","0","3000","200"
23,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","false","0.5","0","3000","100"
24,"0","10","500000","100","15","10","1","20","0.25","0.25","1","1","false","false","2","false","0.5","0","3000","200"
25,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","true","0.5","0","3000","100"
26,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","true","0.5","0","3000","200"
27,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","true","0.5","0","3000","100"
28,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","true","0.5","0","3000","200"
29,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","true","0.5","0","3000","100"
30,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","true","0.5","0","3000","200"
31,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","true","0.5","0","3000","100"
32,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","true","0.5","0","3000","200"
33,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","false","0.5","0","3000","100"
34,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","1","false","0.5","0","3000","200"
35,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","false","0.5","0","3000","100"
36,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","true","true","2","false","0.5","0","3000","200"
37,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","false","0.5","0","3000","100"
38,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","1","false","0.5","0","3000","200"
39,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","false","0.5","0","3000","100"
40,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","true","2","false","0.5","0","3000","200"
41,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","true","0.5","0","3000","100"
42,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","true","0.5","0","3000","200"
43,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","true","0.5","0","3000","100"
44,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","true","0.5","0","3000","200"
45,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","false","0.5","0","3000","100"
46,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","1","false","0.5","0","3000","200"
47,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","false","0.5","0","3000","100"
48,"0","10","500000","100","15","10","1","20","0.25","0.25","1","2","false","false","2","false","0.5","0","3000","200"
49,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","true","0.5","0","3000","100"
50,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","true","0.5","0","3000","200"
51,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","true","0.5","0","3000","100"
52,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","true","0.5","0","3000","200"
53,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","true","0.5","0","3000","100"
54,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","true","0.5","0","3000","200"
55,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","2","true","0.5","0","3000","100"
56,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","2","true","0.5","0","3000","200"
57,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","false","0.5","0","3000","100"
58,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","1","false","0.5","0","3000","200"
59,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","false","0.5","0","3000","100"
60,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","true","true","2","false","0.5","0","3000","200"
61,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","false","0.5","0","3000","100"
62,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","1","false","0.5","0","3000","200"
63,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","2","false","0.5","0","3000","100"
64,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","true","2","false","0.5","0","3000","200"
65,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","1","true","0.5","0","3000","100"
66,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","1","true","0.5","0","3000","200"
67,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","2","true","0.5","0","3000","100"
68,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","2","true","0.5","0","3000","200"
69,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","1","false","0.5","0","3000","100"
70,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","1","false","0.5","0","3000","200"
71,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","2","false","0.5","0","3000","100"
72,"0","10","500000","100","15","10","1","20","0.25","0.25","1","3","false","false","2","false","0.5","0","3000","200"
73,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","1","true","0.5","0","3000","100"
74,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","1","true","0.5","0","3000","200"
75,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","2","true","0.5","0","3000","100"
76,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","2","true","0.5","0","3000","200"
77,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","false","true","1","true","0.5","0","3000","100"
78,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","false","true","1","true","0.5","0","3000","200"
79,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","false","true","2","true","0.5","0","3000","100"
80,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","false","true","2","true","0.5","0","3000","200"
81,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","1","false","0.5","0","3000","100"
82,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","1","false","0.5","0","3000","200"
83,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","2","false","0.5","0","3000","100"
84,"0","10","500000","100","15","10","1","20","0.25","0.25","2","1","true","true","2","false","0.5","0","3000","200"
