"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps","totalAgents"
9351,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","true","2","false","0.5","0","3000","100"
9352,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","true","2","false","0.5","0","3000","200"
9353,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","true","0.5","0","3000","100"
9354,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","true","0.5","0","3000","200"
9355,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","true","0.5","0","3000","100"
9356,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","true","0.5","0","3000","200"
9357,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","false","0.5","0","3000","100"
9358,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","false","0.5","0","3000","200"
9359,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","false","0.5","0","3000","100"
9360,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","false","0.5","0","3000","200"
9361,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","true","0.5","0","3000","100"
9362,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","true","0.5","0","3000","200"
9363,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","true","0.5","0","3000","100"
9364,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","true","0.5","0","3000","200"
9365,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","true","0.5","0","3000","100"
9366,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","true","0.5","0","3000","200"
9367,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","true","0.5","0","3000","100"
9368,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","true","0.5","0","3000","200"
9369,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","false","0.5","0","3000","100"
9370,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","false","0.5","0","3000","200"
9371,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","false","0.5","0","3000","100"
9372,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","false","0.5","0","3000","200"
9373,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","false","0.5","0","3000","100"
9374,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","false","0.5","0","3000","200"
9375,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","false","0.5","0","3000","100"
9376,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","false","0.5","0","3000","200"
9377,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","true","0.5","0","3000","100"
9378,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","true","0.5","0","3000","200"
9379,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","true","0.5","0","3000","100"
9380,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","true","0.5","0","3000","200"
9381,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","false","0.5","0","3000","100"
9382,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","false","0.5","0","3000","200"
9383,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","false","0.5","0","3000","100"
9384,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","false","0.5","0","3000","200"
9385,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","true","0.5","0","3000","100"
9386,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","true","0.5","0","3000","200"
9387,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","true","0.5","0","3000","100"
9388,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","true","0.5","0","3000","200"
9389,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","true","0.5","0","3000","100"
9390,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","true","0.5","0","3000","200"
9391,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","true","0.5","0","3000","100"
9392,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","true","0.5","0","3000","200"
9393,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","false","0.5","0","3000","100"
9394,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","false","0.5","0","3000","200"
9395,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","false","0.5","0","3000","100"
9396,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","false","0.5","0","3000","200"
9397,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","false","0.5","0","3000","100"
9398,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","false","0.5","0","3000","200"
9399,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","false","0.5","0","3000","100"
9400,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","false","0.5","0","3000","200"
9401,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","true","0.5","0","3000","100"
9402,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","true","0.5","0","3000","200"
9403,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","true","0.5","0","3000","100"
9404,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","true","0.5","0","3000","200"
9405,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","false","0.5","0","3000","100"
9406,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","false","0.5","0","3000","200"
9407,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","false","0.5","0","3000","100"
9408,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","false","0.5","0","3000","200"
9409,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","true","0.5","0","3000","100"
9410,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","true","0.5","0","3000","200"
9411,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","true","0.5","0","3000","100"
9412,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","true","0.5","0","3000","200"
9413,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","1","true","0.5","0","3000","100"
9414,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","1","true","0.5","0","3000","200"
9415,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","2","true","0.5","0","3000","100"
9416,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","2","true","0.5","0","3000","200"
9417,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","false","0.5","0","3000","100"
9418,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","false","0.5","0","3000","200"
9419,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","false","0.5","0","3000","100"
9420,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","false","0.5","0","3000","200"
9421,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","1","false","0.5","0","3000","100"
