of,name,size,startYear,timestep,maxUI,maxAC,maxFS,maxNS,bProb,sProb,overlap,mu,sizePref,flakePref,minFS,strict,ED,GF,totalSteps,totalAgents
10286,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,TRUE,1,FALSE,0.5,0,3000,200
10287,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,TRUE,2,FALSE,0.5,0,3000,100
10288,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,TRUE,2,FALSE,0.5,0,3000,200
10289,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,1,TRUE,0.5,0,3000,100
10290,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,1,TRUE,0.5,0,3000,200
10291,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,2,TRUE,0.5,0,3000,100
10292,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,2,TRUE,0.5,0,3000,200
10293,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,1,FALSE,0.5,0,3000,100
10294,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,1,FALSE,0.5,0,3000,200
10295,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,2,FALSE,0.5,0,3000,100
10296,0,10,500000,100,30,20,2,20,0.75,0.75,1,3,FALSE,FALSE,2,FALSE,0.5,0,3000,200
10297,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,1,TRUE,0.5,0,3000,100
10298,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,1,TRUE,0.5,0,3000,200
10299,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,2,TRUE,0.5,0,3000,100
10300,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,2,TRUE,0.5,0,3000,200
10301,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,1,TRUE,0.5,0,3000,100
10302,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,1,TRUE,0.5,0,3000,200
10303,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,2,TRUE,0.5,0,3000,100
10304,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,2,TRUE,0.5,0,3000,200
10305,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,1,FALSE,0.5,0,3000,100
10306,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,1,FALSE,0.5,0,3000,200
10307,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,2,FALSE,0.5,0,3000,100
10308,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,TRUE,TRUE,2,FALSE,0.5,0,3000,200
10309,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,1,FALSE,0.5,0,3000,100
10310,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,1,FALSE,0.5,0,3000,200
10311,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,2,FALSE,0.5,0,3000,100
10312,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,TRUE,2,FALSE,0.5,0,3000,200
10313,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,1,TRUE,0.5,0,3000,100
10314,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,1,TRUE,0.5,0,3000,200
10315,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,2,TRUE,0.5,0,3000,100
10316,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,2,TRUE,0.5,0,3000,200
10317,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,1,FALSE,0.5,0,3000,100
10318,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,1,FALSE,0.5,0,3000,200
10319,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,2,FALSE,0.5,0,3000,100
10320,0,10,500000,100,30,20,2,20,0.75,0.75,2,1,FALSE,FALSE,2,FALSE,0.5,0,3000,200
10321,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,1,TRUE,0.5,0,3000,100
10322,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,1,TRUE,0.5,0,3000,200
10323,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,2,TRUE,0.5,0,3000,100
10324,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,2,TRUE,0.5,0,3000,200
10325,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,1,TRUE,0.5,0,3000,100
10326,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,1,TRUE,0.5,0,3000,200
10327,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,2,TRUE,0.5,0,3000,100
10328,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,2,TRUE,0.5,0,3000,200
10329,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,1,FALSE,0.5,0,3000,100
10330,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,1,FALSE,0.5,0,3000,200
10331,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,2,FALSE,0.5,0,3000,100
10332,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,TRUE,TRUE,2,FALSE,0.5,0,3000,200
10333,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,1,FALSE,0.5,0,3000,100
10334,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,1,FALSE,0.5,0,3000,200
10335,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,2,FALSE,0.5,0,3000,100
10336,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,TRUE,2,FALSE,0.5,0,3000,200
10337,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,1,TRUE,0.5,0,3000,100
10338,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,1,TRUE,0.5,0,3000,200
10339,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,2,TRUE,0.5,0,3000,100
10340,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,2,TRUE,0.5,0,3000,200
10341,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,1,FALSE,0.5,0,3000,100
10342,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,1,FALSE,0.5,0,3000,200
10343,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,2,FALSE,0.5,0,3000,100
10344,0,10,500000,100,30,20,2,20,0.75,0.75,2,2,FALSE,FALSE,2,FALSE,0.5,0,3000,200
10345,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,1,TRUE,0.5,0,3000,100
10346,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,1,TRUE,0.5,0,3000,200
10347,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,2,TRUE,0.5,0,3000,100
10348,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,2,TRUE,0.5,0,3000,200
10349,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,1,TRUE,0.5,0,3000,100
10350,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,1,TRUE,0.5,0,3000,200
10351,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,2,TRUE,0.5,0,3000,100
10352,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,2,TRUE,0.5,0,3000,200
10353,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,1,FALSE,0.5,0,3000,100
10354,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,1,FALSE,0.5,0,3000,200
10355,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,2,FALSE,0.5,0,3000,100
10356,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,TRUE,TRUE,2,FALSE,0.5,0,3000,200
10357,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,1,FALSE,0.5,0,3000,100
10358,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,1,FALSE,0.5,0,3000,200
10359,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,2,FALSE,0.5,0,3000,100
10360,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,TRUE,2,FALSE,0.5,0,3000,200
10361,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,1,TRUE,0.5,0,3000,100
10362,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,1,TRUE,0.5,0,3000,200
10363,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,2,TRUE,0.5,0,3000,100
10364,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,2,TRUE,0.5,0,3000,200
10365,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,1,FALSE,0.5,0,3000,100
10366,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,1,FALSE,0.5,0,3000,200
10367,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,2,FALSE,0.5,0,3000,100
10368,0,10,500000,100,30,20,2,20,0.75,0.75,2,3,FALSE,FALSE,2,FALSE,0.5,0,3000,200
