"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","strict","ED","GF","totalSteps"
4676,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","true","2","false","0.5","0","3000"
4677,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","true","0.5","0","3000"
4678,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","true","0.5","0","3000"
4679,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","1","false","0.5","0","3000"
4680,"0","10","500000","100","30","20","2","20","0.25","0.5","2","3","false","false","2","false","0.5","0","3000"
4681,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","true","0.5","0","3000"
4682,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","true","0.5","0","3000"
4683,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","true","0.5","0","3000"
4684,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","true","0.5","0","3000"
4685,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","1","false","0.5","0","3000"
4686,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","true","true","2","false","0.5","0","3000"
4687,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","1","false","0.5","0","3000"
4688,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","true","2","false","0.5","0","3000"
4689,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","true","0.5","0","3000"
4690,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","true","0.5","0","3000"
4691,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","1","false","0.5","0","3000"
4692,"0","10","500000","100","30","20","2","20","0.25","0.75","1","1","false","false","2","false","0.5","0","3000"
4693,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","true","0.5","0","3000"
4694,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","true","0.5","0","3000"
4695,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","true","0.5","0","3000"
4696,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","true","0.5","0","3000"
4697,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","1","false","0.5","0","3000"
4698,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","true","true","2","false","0.5","0","3000"
4699,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","1","false","0.5","0","3000"
4700,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","true","2","false","0.5","0","3000"
4701,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","true","0.5","0","3000"
4702,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","true","0.5","0","3000"
4703,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","1","false","0.5","0","3000"
4704,"0","10","500000","100","30","20","2","20","0.25","0.75","1","2","false","false","2","false","0.5","0","3000"
4705,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","true","0.5","0","3000"
4706,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","true","0.5","0","3000"
4707,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","1","true","0.5","0","3000"
4708,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","2","true","0.5","0","3000"
4709,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","1","false","0.5","0","3000"
4710,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","true","true","2","false","0.5","0","3000"
4711,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","1","false","0.5","0","3000"
4712,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","true","2","false","0.5","0","3000"
4713,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","false","1","true","0.5","0","3000"
4714,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","false","2","true","0.5","0","3000"
4715,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","false","1","false","0.5","0","3000"
4716,"0","10","500000","100","30","20","2","20","0.25","0.75","1","3","false","false","2","false","0.5","0","3000"
