"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
5611,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","2","5","true","0.5","0","3000"
5612,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","2","10","true","0.5","0","3000"
5613,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","1","5","false","0.5","0","3000"
5614,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","1","10","false","0.5","0","3000"
5615,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","2","5","false","0.5","0","3000"
5616,"0","10","500000","100","15","20","2","20","0.5","0.5","1","3","true","false","2","10","false","0.5","0","3000"
5617,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","1","5","true","0.5","0","3000"
5618,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","1","10","true","0.5","0","3000"
5619,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","2","5","true","0.5","0","3000"
5620,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","2","10","true","0.5","0","3000"
5621,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","1","5","false","0.5","0","3000"
5622,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","1","10","false","0.5","0","3000"
5623,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","2","5","false","0.5","0","3000"
5624,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","true","2","10","false","0.5","0","3000"
5625,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","1","5","true","0.5","0","3000"
5626,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","1","10","true","0.5","0","3000"
5627,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","2","5","true","0.5","0","3000"
5628,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","2","10","true","0.5","0","3000"
5629,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","1","5","false","0.5","0","3000"
5630,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","1","10","false","0.5","0","3000"
5631,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","2","5","false","0.5","0","3000"
5632,"0","10","500000","100","15","20","2","20","0.5","0.5","2","1","true","false","2","10","false","0.5","0","3000"
5633,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","1","5","true","0.5","0","3000"
5634,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","1","10","true","0.5","0","3000"
5635,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","2","5","true","0.5","0","3000"
5636,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","2","10","true","0.5","0","3000"
5637,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","1","5","false","0.5","0","3000"
5638,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","1","10","false","0.5","0","3000"
5639,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","2","5","false","0.5","0","3000"
5640,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","true","2","10","false","0.5","0","3000"
5641,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","1","5","true","0.5","0","3000"
5642,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","1","10","true","0.5","0","3000"
5643,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","2","5","true","0.5","0","3000"
5644,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","2","10","true","0.5","0","3000"
5645,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","1","5","false","0.5","0","3000"
5646,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","1","10","false","0.5","0","3000"
5647,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","2","5","false","0.5","0","3000"
5648,"0","10","500000","100","15","20","2","20","0.5","0.5","2","2","true","false","2","10","false","0.5","0","3000"
5649,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","1","5","true","0.5","0","3000"
5650,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","1","10","true","0.5","0","3000"
5651,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","2","5","true","0.5","0","3000"
5652,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","2","10","true","0.5","0","3000"
5653,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","1","5","false","0.5","0","3000"
5654,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","1","10","false","0.5","0","3000"
5655,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","2","5","false","0.5","0","3000"
5656,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","true","2","10","false","0.5","0","3000"
5657,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","1","5","true","0.5","0","3000"
5658,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","1","10","true","0.5","0","3000"
5659,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","2","5","true","0.5","0","3000"
5660,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","2","10","true","0.5","0","3000"
5661,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","1","5","false","0.5","0","3000"
5662,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","1","10","false","0.5","0","3000"
5663,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","2","5","false","0.5","0","3000"
5664,"0","10","500000","100","15","20","2","20","0.5","0.5","2","3","true","false","2","10","false","0.5","0","3000"
5665,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","1","5","true","0.5","0","3000"
5666,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","1","10","true","0.5","0","3000"
5667,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","2","5","true","0.5","0","3000"
5668,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","2","10","true","0.5","0","3000"
5669,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","1","5","false","0.5","0","3000"
5670,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","1","10","false","0.5","0","3000"
5671,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","2","5","false","0.5","0","3000"
5672,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","true","2","10","false","0.5","0","3000"
5673,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","1","5","true","0.5","0","3000"
5674,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","1","10","true","0.5","0","3000"
5675,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","2","5","true","0.5","0","3000"
5676,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","2","10","true","0.5","0","3000"
5677,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","1","5","false","0.5","0","3000"
5678,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","1","10","false","0.5","0","3000"
5679,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","2","5","false","0.5","0","3000"
5680,"0","10","500000","100","15","20","2","20","0.5","0.75","1","1","true","false","2","10","false","0.5","0","3000"
5681,"0","10","500000","100","15","20","2","20","0.5","0.75","1","2","true","true","1","5","true","0.5","0","3000"
5682,"0","10","500000","100","15","20","2","20","0.5","0.75","1","2","true","true","1","10","true","0.5","0","3000"
