"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
"2",0,6,500000,100,15,10,1,10,0.25,0.25,0,1,"true","true",1,5,"false",0.5,0,3000
"3",0,6,500000,100,15,10,1,10,0.25,0.25,0,1,"true","true",1,10,"true",0.5,0,3000
"2003",0,6,500000,100,15,10,1,10,0.5,0.75,0,3,"false","true",1,10,"true",0.5,0,3000
"2006",0,6,500000,100,15,10,1,10,0.5,0.75,0,3,"false","true",2,5,"false",0.5,0,3000
"4006",0,6,500000,100,15,10,1,20,0.25,0.5,0.5,3,"true","true",2,5,"false",0.5,0,3000
"8005",0,6,500000,100,15,10,2,10,0.25,0.75,2,2,"true","true",2,5,"true",0.5,0,3000
"8010",0,6,500000,100,15,10,2,10,0.25,0.75,2,2,"true","false",1,5,"false",0.5,0,3000
"18012",0,6,500000,100,15,20,1,20,0.25,0.5,2,2,"false","false",1,10,"false",0.5,0,3000
"40021",0,6,500000,100,30,10,2,20,0.5,0.75,0,3,"false","true",2,5,"true",0.5,0,3000
"40022",0,6,500000,100,30,10,2,20,0.5,0.75,0,3,"false","true",2,5,"false",0.5,0,3000
