"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
"44023",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","true",2,10,"true",0.5,0,5000
"44024",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","true",2,10,"false",0.5,0,5000
"44025",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",1,5,"true",0.5,0,5000
"44026",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",1,5,"false",0.5,0,5000
"44027",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",1,10,"true",0.5,0,5000
"44028",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",1,10,"false",0.5,0,5000
"44029",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",2,5,"true",0.5,0,5000
"44030",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",2,5,"false",0.5,0,5000
"44031",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",2,10,"true",0.5,0,5000
"44032",0,5,500000,100,30,20,1,10,0.75,0.25,1,2,"false","false",2,10,"false",0.5,0,5000
"44033",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",1,5,"true",0.5,0,5000
"44034",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",1,5,"false",0.5,0,5000
"44035",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",1,10,"true",0.5,0,5000
"44036",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",1,10,"false",0.5,0,5000
"44037",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",2,5,"true",0.5,0,5000
"44038",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",2,5,"false",0.5,0,5000
"44039",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",2,10,"true",0.5,0,5000
"44040",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","true",2,10,"false",0.5,0,5000
"44041",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",1,5,"true",0.5,0,5000
"44042",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",1,5,"false",0.5,0,5000
"44043",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",1,10,"true",0.5,0,5000
"44044",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",1,10,"false",0.5,0,5000
"44045",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",2,5,"true",0.5,0,5000
"44046",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",2,5,"false",0.5,0,5000
"44047",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",2,10,"true",0.5,0,5000
"44048",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"true","false",2,10,"false",0.5,0,5000
"44049",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",1,5,"true",0.5,0,5000
"44050",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",1,5,"false",0.5,0,5000
"44051",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",1,10,"true",0.5,0,5000
"44052",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",1,10,"false",0.5,0,5000
"44053",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",2,5,"true",0.5,0,5000
"44054",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",2,5,"false",0.5,0,5000
"44055",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",2,10,"true",0.5,0,5000
"44056",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","true",2,10,"false",0.5,0,5000
"44057",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",1,5,"true",0.5,0,5000
"44058",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",1,5,"false",0.5,0,5000
"44059",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",1,10,"true",0.5,0,5000
"44060",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",1,10,"false",0.5,0,5000
"44061",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",2,5,"true",0.5,0,5000
"44062",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",2,5,"false",0.5,0,5000
"44063",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",2,10,"true",0.5,0,5000
"44064",0,5,500000,100,30,20,1,10,0.75,0.25,1,3,"false","false",2,10,"false",0.5,0,5000
"44065",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",1,5,"true",0.5,0,5000
"44066",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",1,5,"false",0.5,0,5000
"44067",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",1,10,"true",0.5,0,5000
"44068",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",1,10,"false",0.5,0,5000
"44069",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",2,5,"true",0.5,0,5000
"44070",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",2,5,"false",0.5,0,5000
"44071",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",2,10,"true",0.5,0,5000
"44072",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","true",2,10,"false",0.5,0,5000
"44073",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",1,5,"true",0.5,0,5000
"44074",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",1,5,"false",0.5,0,5000
"44075",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",1,10,"true",0.5,0,5000
"44076",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",1,10,"false",0.5,0,5000
"44077",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",2,5,"true",0.5,0,5000
"44078",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",2,5,"false",0.5,0,5000
"44079",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",2,10,"true",0.5,0,5000
"44080",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"true","false",2,10,"false",0.5,0,5000
"44081",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",1,5,"true",0.5,0,5000
"44082",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",1,5,"false",0.5,0,5000
"44083",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",1,10,"true",0.5,0,5000
"44084",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",1,10,"false",0.5,0,5000
"44085",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",2,5,"true",0.5,0,5000
"44086",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",2,5,"false",0.5,0,5000
"44087",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",2,10,"true",0.5,0,5000
"44088",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","true",2,10,"false",0.5,0,5000
"44089",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",1,5,"true",0.5,0,5000
"44090",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",1,5,"false",0.5,0,5000
"44091",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",1,10,"true",0.5,0,5000
"44092",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",1,10,"false",0.5,0,5000
"44093",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",2,5,"true",0.5,0,5000
"44094",0,5,500000,100,30,20,1,10,0.75,0.25,2,1,"false","false",2,5,"false",0.5,0,5000
