"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
5533,0,5,500000,100,15,10,1,20,0.5,0.75,0.5,2,"false","false",2,5,"true",0.5,0,5000
16598,0,5,500000,100,15,20,1,10,0.75,0.5,0,3,"false","true",2,5,"false",0.5,0,5000
33168,0,5,500000,100,30,10,1,20,0.5,0.75,0.5,2,"true","false",2,10,"false",0.5,0,5000
47305,0,5,500000,100,30,20,1,20,0.75,0.25,0,3,"true","false",1,5,"true",0.5,0,5000
47308,0,5,500000,100,30,20,1,20,0.75,0.25,0,3,"true","false",1,10,"false",0.5,0,5000
47312,0,5,500000,100,30,20,1,20,0.75,0.25,0,3,"true","false",2,10,"false",0.5,0,5000
47457,0,5,500000,100,30,20,1,20,0.75,0.25,1,2,"true","true",1,5,"true",0.5,0,5000
47503,0,5,500000,100,30,20,1,20,0.75,0.25,1,3,"true","false",2,10,"true",0.5,0,5000
47515,0,5,500000,100,30,20,1,20,0.75,0.25,1,3,"false","false",1,10,"true",0.5,0,5000
47554,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","true",1,5,"false",0.5,0,5000
47555,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","true",1,10,"true",0.5,0,5000
47558,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","true",2,5,"false",0.5,0,5000
47560,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","true",2,10,"false",0.5,0,5000
47561,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","false",1,5,"true",0.5,0,5000
47562,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","false",1,5,"false",0.5,0,5000
47563,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","false",1,10,"true",0.5,0,5000
47564,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"true","false",1,10,"false",0.5,0,5000
47570,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","true",1,5,"false",0.5,0,5000
47571,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","true",1,10,"true",0.5,0,5000
47574,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","true",2,5,"false",0.5,0,5000
47576,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","true",2,10,"false",0.5,0,5000
47577,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","false",1,5,"true",0.5,0,5000
47578,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","false",1,5,"false",0.5,0,5000
47579,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","false",1,10,"true",0.5,0,5000
47580,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","false",1,10,"false",0.5,0,5000
47581,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,"false","false",2,5,"true",0.5,0,5000
47587,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","true",1,10,"true",0.5,0,5000
47589,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","true",2,5,"true",0.5,0,5000
47590,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","true",2,5,"false",0.5,0,5000
47594,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","false",1,5,"false",0.5,0,5000
47596,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","false",1,10,"false",0.5,0,5000
47599,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"true","false",2,10,"true",0.5,0,5000
47601,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"false","true",1,5,"true",0.5,0,5000
47605,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"false","true",2,5,"true",0.5,0,5000
47607,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,"false","true",2,10,"true",0.5,0,5000
