"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
33186,0,5,500000,100,30,10,1,20,0.5,0.75,0.5,3,1,1,1,5,0,0.5,0,5000
47554,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,1,1,1,5,0,0.5,0,5000
47558,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,1,1,2,5,0,0.5,0,5000
47560,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,1,1,2,10,0,0.5,0,5000
47562,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,1,0,1,5,0,0.5,0,5000
47564,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,1,0,1,10,0,0.5,0,5000
47571,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,0,1,1,10,1,0.5,0,5000
47574,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,0,1,2,5,0,0.5,0,5000
47577,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,0,0,1,5,1,0.5,0,5000
47580,0,5,500000,100,30,20,1,20,0.75,0.25,2,2,0,0,1,10,0,0.5,0,5000
47599,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,1,0,2,10,1,0.5,0,5000
47616,0,5,500000,100,30,20,1,20,0.75,0.25,2,3,0,0,2,10,0,0.5,0,5000
89014,0,10,500000,100,30,10,1,20,0.75,0.25,2,1,0,1,2,5,0,0.5,0,5000
89019,0,10,500000,100,30,10,1,20,0.75,0.25,2,1,0,0,1,10,1,0.5,0,5000
89021,0,10,500000,100,30,10,1,20,0.75,0.25,2,1,0,0,2,5,1,0.5,0,5000
102529,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,1,1,1,5,1,0.5,0,5000
102532,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,1,1,1,10,0,0.5,0,5000
102534,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,1,1,2,5,0,0.5,0,5000
102537,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,1,0,1,5,1,0.5,0,5000
102541,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,1,0,2,5,1,0.5,0,5000
102545,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,1,1,5,1,0.5,0,5000
102546,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,1,1,5,0,0.5,0,5000
102549,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,1,2,5,1,0.5,0,5000
102551,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,1,2,10,1,0.5,0,5000
102553,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,0,1,5,1,0.5,0,5000
102558,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,0,2,5,0,0.5,0,5000
102560,0,10,500000,100,30,20,1,20,0.75,0.25,0,1,0,0,2,10,0,0.5,0,5000
102628,0,10,500000,100,30,20,1,20,0.75,0.25,0.5,1,1,1,1,10,0,0.5,0,5000
102632,0,10,500000,100,30,20,1,20,0.75,0.25,0.5,1,1,1,2,10,0,0.5,0,5000
102634,0,10,500000,100,30,20,1,20,0.75,0.25,0.5,1,1,0,1,5,0,0.5,0,5000
102654,0,10,500000,100,30,20,1,20,0.75,0.25,0.5,1,0,0,2,5,0,0.5,0,5000
102656,0,10,500000,100,30,20,1,20,0.75,0.25,0.5,1,0,0,2,10,0,0.5,0,5000
102728,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,1,1,2,10,0,0.5,0,5000
102729,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,1,0,1,5,1,0.5,0,5000
102732,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,1,0,1,10,0,0.5,0,5000
102735,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,1,0,2,10,1,0.5,0,5000
102736,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,1,0,2,10,0,0.5,0,5000
102739,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,1,1,10,1,0.5,0,5000
102740,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,1,1,10,0,0.5,0,5000
102741,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,1,2,5,1,0.5,0,5000
102746,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,0,1,5,0,0.5,0,5000
102751,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,0,2,10,1,0.5,0,5000
102752,0,10,500000,100,30,20,1,20,0.75,0.25,1,1,0,0,2,10,0,0.5,0,5000
102817,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,1,5,1,0.5,0,5000
102818,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,1,5,0,0.5,0,5000
102819,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,1,10,1,0.5,0,5000
102820,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,1,10,0,0.5,0,5000
102821,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,2,5,1,0.5,0,5000
102822,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,2,5,0,0.5,0,5000
102823,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,2,10,1,0.5,0,5000
102824,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,1,2,10,0,0.5,0,5000
102825,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,1,5,1,0.5,0,5000
102826,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,1,5,0,0.5,0,5000
102827,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,1,10,1,0.5,0,5000
102828,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,1,10,0,0.5,0,5000
102829,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,2,5,1,0.5,0,5000
102830,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,2,5,0,0.5,0,5000
102831,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,2,10,1,0.5,0,5000
102832,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,1,0,2,10,0,0.5,0,5000
102833,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,1,5,1,0.5,0,5000
102834,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,1,5,0,0.5,0,5000
102835,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,1,10,1,0.5,0,5000
102836,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,1,10,0,0.5,0,5000
102837,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,2,5,1,0.5,0,5000
102838,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,2,5,0,0.5,0,5000
102839,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,2,10,1,0.5,0,5000
102840,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,1,2,10,0,0.5,0,5000
102841,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,0,1,5,1,0.5,0,5000
102842,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,0,1,5,0,0.5,0,5000
102843,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,0,1,10,1,0.5,0,5000
102844,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,0,1,10,0,0.5,0,5000
102845,0,10,500000,100,30,20,1,20,0.75,0.25,2,1,0,0,2,5,1,0.5,0,5000
