"of","name","size","startYear","timestep","maxUI","maxAC","maxFS","maxNS","bProb","sProb","overlap","mu","sizePref","flakePref","minFS","minNS","strict","ED","GF","totalSteps"
78291,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,1,10,1,0.5,0,5000
78292,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,1,10,0,0.5,0,5000
78293,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,2,5,1,0.5,0,5000
78294,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,2,5,0,0.5,0,5000
78295,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,2,10,1,0.5,0,5000
78296,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,1,2,10,0,0.5,0,5000
78297,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,1,5,1,0.5,0,5000
78298,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,1,5,0,0.5,0,5000
78299,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,1,10,1,0.5,0,5000
78300,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,1,10,0,0.5,0,5000
78301,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,2,5,1,0.5,0,5000
78302,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,2,5,0,0.5,0,5000
78303,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,2,10,1,0.5,0,5000
78304,0,10,500000,100,15,20,2,10,0.5,0.75,2,2,0,0,2,10,0,0.5,0,5000
78305,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,1,5,1,0.5,0,5000
78306,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,1,5,0,0.5,0,5000
78307,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,1,10,1,0.5,0,5000
78308,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,1,10,0,0.5,0,5000
78309,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,2,5,1,0.5,0,5000
78310,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,2,5,0,0.5,0,5000
78311,0,10,500000,100,15,20,2,10,0.5,0.75,2,3,1,1,2,10,1,0.5,0,5000
